EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	19:54:22	0	0.1000	0.03987971906198953
2	19:54:38	0	0.1000	0.026439248313990558
3	19:54:52	0	0.1000	0.021559260360272555
4	19:55:05	0	0.1000	0.018573588368495465
5	19:55:19	0	0.1000	0.01793393963398693
6	19:55:33	0	0.1000	0.016005165633634775
7	19:55:47	0	0.1000	0.015529321003463796
8	19:56:00	0	0.1000	0.013803832069932078
9	19:56:14	0	0.1000	0.012996686449453164
10	19:56:28	0	0.1000	0.01236036871959511
11	19:56:42	0	0.1000	0.01226474910026057
12	19:56:59	0	0.1000	0.010845430938829313
13	19:57:15	0	0.1000	0.010307164365148365
14	19:57:30	0	0.1000	0.009707620041487376
15	19:57:43	0	0.1000	0.008880136933003921
16	19:57:57	1	0.1000	0.009648044025443246
17	19:58:11	0	0.1000	0.008719788689628229
18	19:58:24	0	0.1000	0.00834399738889856
19	19:58:38	1	0.1000	0.00858251102543523
20	19:58:51	2	0.1000	0.008355194267649454
21	19:59:05	0	0.1000	0.007238058681016794
22	19:59:19	0	0.1000	0.006487954211645822
23	19:59:33	1	0.1000	0.007226497084604982
24	19:59:46	2	0.1000	0.007387785340394509
25	20:00:00	3	0.1000	0.006593959033431792
26	20:00:13	0	0.1000	0.0059907218791266734
27	20:00:29	1	0.1000	0.006387909557206327
28	20:00:44	2	0.1000	0.007108072429363552
29	20:00:58	0	0.1000	0.005777198251693341
30	20:01:12	1	0.1000	0.005929679469202843
31	20:01:25	0	0.1000	0.0052230002944944525
32	20:01:39	0	0.1000	0.004692057199002617
33	20:01:53	0	0.1000	0.004402424570433828
34	20:02:07	1	0.1000	0.0053543458993270746
35	20:02:20	2	0.1000	0.004701816306478657
36	20:02:34	3	0.1000	0.004937501157255044
37	20:02:48	4	0.1000	0.004483966377223699
38	20:03:01	0	0.0500	0.004272915002778447
39	20:03:14	0	0.0500	0.00398867936484953
40	20:03:28	0	0.0500	0.0037822395503010176
41	20:03:41	0	0.0500	0.0035670971773318705
42	20:03:55	0	0.0500	0.0035084223322386626
43	20:04:09	1	0.0500	0.004021809527595027
44	20:04:23	0	0.0500	0.003434525652610447
45	20:04:36	0	0.0500	0.0028394992404862413
46	20:04:50	1	0.0500	0.002992160917637951
47	20:05:04	2	0.0500	0.003694704076934513
48	20:05:19	0	0.0500	0.0025100303909564264
49	20:05:35	1	0.0500	0.0030305560100494107
50	20:05:50	2	0.0500	0.003569038539813595
