EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	22:41:03	0	0.1000	0.01097346492571837
2	22:41:16	0	0.1000	0.006865112477627127
3	22:41:30	0	0.1000	0.0064833320236707325
4	22:41:44	0	0.1000	0.005328586067069376
5	22:41:59	0	0.1000	0.004810840065313232
6	22:42:12	1	0.1000	0.0051328239240408255
7	22:42:25	0	0.1000	0.004273010484492418
8	22:42:39	0	0.1000	0.0037430968015172007
9	22:42:52	1	0.1000	0.003809288115131714
10	22:43:05	0	0.1000	0.0031018945641335927
11	22:43:17	0	0.1000	0.0030935494752500434
12	22:43:30	0	0.1000	0.002490922800031504
13	22:43:43	1	0.1000	0.002794106166403491
14	22:43:56	2	0.1000	0.003129803235208158
15	22:44:10	3	0.1000	0.0029690858036397166
16	22:44:23	0	0.1000	0.0024241036905095705
17	22:44:36	0	0.1000	0.0019442559792397056
18	22:44:49	1	0.1000	0.0023831631413583844
19	22:45:02	2	0.1000	0.002238329462560185
20	22:45:15	3	0.1000	0.0024811730904898727
21	22:45:28	0	0.1000	0.0017100447455467595
22	22:45:41	1	0.1000	0.0019461259829387089
23	22:45:55	2	0.1000	0.0021650656450750323
24	22:46:10	3	0.1000	0.0019580611731470337
25	22:46:25	4	0.1000	0.0018328255892739816
26	22:46:39	0	0.0500	0.0015133323869943305
27	22:46:52	0	0.0500	0.0012238009875143404
28	22:47:05	1	0.0500	0.0013340760781166588
29	22:47:18	0	0.0500	0.0011801115128746483
30	22:47:31	0	0.0500	0.0011696565856131554
31	22:47:44	0	0.0500	0.0008572074148250785
32	22:47:57	1	0.0500	0.0010960251085078356
33	22:48:11	2	0.0500	0.0013828261045839407
34	22:48:25	0	0.0500	0.0007726977595205219
35	22:48:39	1	0.0500	0.0009881764485864227
36	22:48:54	2	0.0500	0.0009124699967292855
37	22:49:09	3	0.0500	0.0010426343599537512
38	22:49:23	4	0.0500	0.0010874587070299668
39	22:49:37	0	0.0250	0.0007132545501267863
40	22:49:50	1	0.0250	0.0008051599560210019
41	22:50:03	2	0.0250	0.0009016871358342616
42	22:50:18	3	0.0250	0.0013233862787915905
43	22:50:33	4	0.0250	0.0008076260500292584
44	22:50:48	0	0.0125	0.0006710009130009213
45	22:51:03	0	0.0125	0.0005756681444767114
46	22:51:18	1	0.0125	0.0008917077173541315
47	22:51:31	0	0.0125	0.0005416843549650696
48	22:51:45	1	0.0125	0.000700289241274459
49	22:51:58	2	0.0125	0.0007209235703898166
50	22:52:11	0	0.0125	0.0004987555515123886
