EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	17:31:00	0	0.1000	0.17965499369164567
2	17:31:13	0	0.1000	0.10304760273540559
3	17:31:27	0	0.1000	0.08298207306024016
4	17:31:40	0	0.1000	0.06654500182935714
5	17:31:53	0	0.1000	0.05998667125816924
6	17:32:07	0	0.1000	0.05374445799210632
7	17:32:22	0	0.1000	0.04689658856932302
8	17:32:38	0	0.1000	0.04386757827642976
9	17:32:53	0	0.1000	0.04309846269635704
10	17:33:06	0	0.1000	0.03780122366237105
11	17:33:19	0	0.1000	0.03262537552973763
12	17:33:32	1	0.1000	0.03403482884075667
13	17:33:46	2	0.1000	0.03340322320886153
14	17:33:59	0	0.1000	0.02772090156897856
15	17:34:12	1	0.1000	0.028747989261787434
16	17:34:25	2	0.1000	0.02913914861637432
17	17:34:39	0	0.1000	0.027338757165927454
18	17:34:53	0	0.1000	0.025743700655316285
19	17:35:06	0	0.1000	0.023626879077613117
20	17:35:20	0	0.1000	0.023542856173595635
21	17:35:33	0	0.1000	0.022846202563783388
22	17:35:47	0	0.1000	0.02117966167841019
23	17:36:01	0	0.1000	0.01904664739399349
24	17:36:16	0	0.1000	0.01867635566396509
25	17:36:31	0	0.1000	0.01838071613010336
26	17:36:45	0	0.1000	0.018194950204501407
27	17:37:00	0	0.1000	0.016827601743453404
28	17:37:15	0	0.1000	0.01622775624016016
29	17:37:30	1	0.1000	0.01665205129047123
30	17:37:44	0	0.1000	0.014678365451973771
31	17:37:59	1	0.1000	0.015426743449478642
32	17:38:13	0	0.1000	0.014646363657461331
33	17:38:28	1	0.1000	0.015197234358007185
34	17:38:42	0	0.1000	0.012185806604898207
35	17:38:57	1	0.1000	0.012369607659480903
36	17:39:11	0	0.1000	0.011851665953336523
37	17:39:25	0	0.1000	0.011558411001886442
38	17:39:38	0	0.1000	0.011497068873659493
39	17:39:54	0	0.1000	0.010589783021629811
40	17:40:09	1	0.1000	0.011333754762192233
41	17:40:24	2	0.1000	0.010908248073024991
42	17:40:40	0	0.1000	0.009341858781333475
43	17:40:55	1	0.1000	0.010010122013429169
44	17:41:10	2	0.1000	0.010591905908788854
45	17:41:25	3	0.1000	0.009647379225915126
46	17:41:40	4	0.1000	0.009983394715611963
47	17:41:56	0	0.0500	0.00808046192060912
48	17:42:11	0	0.0500	0.006389743128098527
49	17:42:24	0	0.0500	0.006024503663265921
50	17:42:38	1	0.0500	0.006320947977578871
