EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	20:53:24	0	0.1000	0.03894815154186695
2	20:53:38	0	0.1000	0.027423087866216583
3	20:53:54	0	0.1000	0.024640580422449446
4	20:54:10	0	0.1000	0.021996366867875684
5	20:54:24	0	0.1000	0.018687448477938958
6	20:54:36	0	0.1000	0.01818288719021684
7	20:54:49	0	0.1000	0.016130058311413488
8	20:55:04	0	0.1000	0.014494696128201893
9	20:55:17	0	0.1000	0.013520715519489707
10	20:55:31	1	0.1000	0.014700141736080901
11	20:55:44	0	0.1000	0.01217928903530774
12	20:55:59	1	0.1000	0.012279768689626222
13	20:56:14	0	0.1000	0.011790401373509566
14	20:56:29	0	0.1000	0.010962218113961806
15	20:56:43	0	0.1000	0.010154507123520182
16	20:56:56	0	0.1000	0.009654656288264894
17	20:57:10	1	0.1000	0.010296023898414903
18	20:57:24	0	0.1000	0.009307642419110354
19	20:57:39	0	0.1000	0.009049181645145019
20	20:57:53	0	0.1000	0.008252535178412523
21	20:58:06	0	0.1000	0.008071970652001107
22	20:58:19	1	0.1000	0.009014910854442375
23	20:58:32	2	0.1000	0.008516321374252782
24	20:58:45	0	0.1000	0.007674020357942972
25	20:58:59	1	0.1000	0.008574694358689726
26	20:59:12	0	0.1000	0.007233767299753308
27	20:59:25	0	0.1000	0.007205835313270003
28	20:59:39	0	0.1000	0.006816036604742008
29	20:59:53	0	0.1000	0.0067722710000507275
30	21:00:07	1	0.1000	0.0074251510482689475
31	21:00:20	0	0.1000	0.00627284840111369
32	21:00:34	1	0.1000	0.006719610896397312
33	21:00:49	0	0.1000	0.005680026223630629
34	21:01:03	1	0.1000	0.005711084935625707
35	21:01:16	2	0.1000	0.006614061781768664
36	21:01:29	3	0.1000	0.006376752524650195
37	21:01:42	0	0.1000	0.005455378303196026
38	21:01:56	0	0.1000	0.005235008751522189
39	21:02:10	1	0.1000	0.005987159541094545
40	21:02:25	2	0.1000	0.005350752806698128
41	21:02:41	3	0.1000	0.0052474252522085926
42	21:02:56	0	0.1000	0.005150185760078118
43	21:03:11	1	0.1000	0.005949841570235726
44	21:03:27	2	0.1000	0.005837008492786388
45	21:03:42	0	0.1000	0.004622191675089188
46	21:03:57	1	0.1000	0.004852067460386817
47	21:04:12	2	0.1000	0.005403077844532977
48	21:04:28	3	0.1000	0.00464307142422393
49	21:04:42	4	0.1000	0.004661555794609809
50	21:04:55	1	0.0500	0.005093988412183126
