EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	23:16:53	0	0.1000	0.006150642152513213
2	23:17:06	0	0.1000	0.004645461731768669
3	23:17:18	0	0.1000	0.004324876530755036
4	23:17:31	0	0.1000	0.004091724263959324
5	23:17:43	0	0.1000	0.0032602571992927337
6	23:17:56	1	0.1000	0.0035179901211696628
7	23:18:08	2	0.1000	0.003381659659047039
8	23:18:20	0	0.1000	0.0027987348518694662
9	23:18:32	1	0.1000	0.002880238201272953
10	23:18:45	0	0.1000	0.0022870697676704533
11	23:18:57	1	0.1000	0.0025620482180192927
12	23:19:13	2	0.1000	0.0025333762784507546
13	23:19:27	0	0.1000	0.002204842420679261
14	23:19:41	0	0.1000	0.0019201038790448493
15	23:19:55	0	0.1000	0.0018853187265535987
16	23:20:08	1	0.1000	0.0023607281312743537
17	23:20:21	0	0.1000	0.001585917639303887
18	23:20:34	1	0.1000	0.0021347593261397246
19	23:20:46	2	0.1000	0.0020011963614794963
20	23:21:01	3	0.1000	0.00163134910971191
21	23:21:15	4	0.1000	0.0016696157102815328
22	23:21:29	0	0.0500	0.001483655522564575
23	23:21:45	0	0.0500	0.0010682704206883132
24	23:22:00	1	0.0500	0.0011409466681808413
25	23:22:14	2	0.0500	0.0011406362463043534
26	23:22:27	0	0.0500	0.0008509804261319279
27	23:22:40	1	0.0500	0.0008513060169657309
28	23:22:52	0	0.0500	0.0008371393928299312
29	23:23:05	0	0.0500	0.0007726790564682237
30	23:23:18	1	0.0500	0.0009911874925959728
31	23:23:30	2	0.0500	0.001242191233533494
32	23:23:43	0	0.0500	0.0007452535816421935
33	23:23:57	1	0.0500	0.0007575905734264907
34	23:24:11	2	0.0500	0.0009461460318404815
35	23:24:25	3	0.0500	0.0014194599042079636
36	23:24:38	4	0.0500	0.0010678394351510859
37	23:24:51	1	0.0250	0.0014375811444656634
38	23:25:03	2	0.0250	0.000838063566479351
39	23:25:16	0	0.0250	0.000735235618082262
40	23:25:29	0	0.0250	0.0006749131073269119
41	23:25:42	1	0.0250	0.0009990491002237864
42	23:25:56	0	0.0250	0.0004893626292070508
43	23:26:12	1	0.0250	0.0007423760599894012
44	23:26:27	2	0.0250	0.0006049371312359497
45	23:26:41	3	0.0250	0.0009109577446086327
46	23:26:56	4	0.0250	0.0006467743960078948
47	23:27:11	1	0.0125	0.000499813055800052
48	23:27:26	2	0.0125	0.0006895441576558385
49	23:27:41	3	0.0125	0.000573884847365586
50	23:27:53	4	0.0125	0.0007946304091981707
