EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS
1	19:42:39	0	0.1000	0.08458080885758068
2	19:42:52	0	0.1000	0.059033041113152926
3	19:43:05	0	0.1000	0.05059878030995032
4	19:43:18	0	0.1000	0.03742693755692471
5	19:43:33	0	0.1000	0.036623399924981294
6	19:43:47	0	0.1000	0.03401328246007611
7	19:44:01	0	0.1000	0.028118060972938088
8	19:44:16	0	0.1000	0.026789277035366064
9	19:44:30	0	0.1000	0.02427331736460622
10	19:44:45	0	0.1000	0.02252390643456919
11	19:45:00	1	0.1000	0.023095849472025847
12	19:45:14	0	0.1000	0.019712647351579505
13	19:45:29	0	0.1000	0.018889914749486373
14	19:45:43	0	0.1000	0.015974288882783145
15	19:45:56	1	0.1000	0.01658885195126828
16	19:46:09	0	0.1000	0.015461538405048707
17	19:46:23	0	0.1000	0.014249099814155569
18	19:46:35	1	0.1000	0.015263005355654502
19	19:46:48	0	0.1000	0.01331896938569599
20	19:47:01	0	0.1000	0.013293669132929438
21	19:47:15	0	0.1000	0.01049521169273988
22	19:47:28	1	0.1000	0.012067310017449158
23	19:47:41	0	0.1000	0.010293164560265359
24	19:47:54	1	0.1000	0.010596037963686728
25	19:48:07	0	0.1000	0.008347287434942618
26	19:48:20	1	0.1000	0.009754979262684083
27	19:48:33	2	0.1000	0.01055607766892061
28	19:48:46	3	0.1000	0.008924090075900145
29	19:49:00	0	0.1000	0.008212510358331707
30	19:49:14	1	0.1000	0.008996122350204007
31	19:49:28	0	0.1000	0.006668943838753619
32	19:49:41	0	0.1000	0.006664033907315107
33	19:49:56	0	0.1000	0.006470055398427234
34	19:50:11	0	0.1000	0.006330577208710719
35	19:50:26	1	0.1000	0.0068739268970865455
36	19:50:41	2	0.1000	0.006885368495043881
37	19:50:55	0	0.1000	0.005498302775519593
38	19:51:08	1	0.1000	0.005521188841229513
39	19:51:21	0	0.1000	0.0048711272451473445
40	19:51:35	1	0.1000	0.0050212002427129955
41	19:51:48	2	0.1000	0.0053288207386232396
42	19:52:01	0	0.1000	0.004198440897637065
43	19:52:14	1	0.1000	0.005050742905024003
44	19:52:27	0	0.1000	0.0033073091945573004
45	19:52:41	1	0.1000	0.004894028261362645
46	19:52:54	2	0.1000	0.003745058864237601
47	19:53:07	0	0.1000	0.0032529029645681695
48	19:53:20	1	0.1000	0.0039157995005944714
49	19:53:33	2	0.1000	0.0036340903483928423
50	19:53:46	3	0.1000	0.004778621914195639
